table,row_index,raw_value,column
profitandloss,12,TTM,year
profitandloss,24,TTM,year
profitandloss,37,TTM,year
profitandloss,46,TTM,year
profitandloss,59,TTM,year
profitandloss,72,TTM,year
profitandloss,85,TTM,year
profitandloss,96,Mar 2023 15,year
profitandloss,98,TTM,year
profitandloss,111,TTM,year
profitandloss,124,TTM,year
profitandloss,132,TTM,year
profitandloss,145,TTM,year
profitandloss,158,TTM,year
profitandloss,171,TTM,year
profitandloss,184,TTM,year
profitandloss,195,TTM,year
profitandloss,208,TTM,year
profitandloss,221,TTM,year
profitandloss,234,TTM,year
profitandloss,247,TTM,year
profitandloss,260,TTM,year
profitandloss,273,TTM,year
profitandloss,286,TTM,year
profitandloss,299,TTM,year
profitandloss,312,TTM,year
profitandloss,325,TTM,year
profitandloss,338,TTM,year
profitandloss,351,TTM,year
profitandloss,364,TTM,year
profitandloss,377,TTM,year
profitandloss,390,TTM,year
profitandloss,403,TTM,year
profitandloss,416,TTM,year
profitandloss,429,TTM,year
profitandloss,442,TTM,year
profitandloss,455,TTM,year
profitandloss,468,TTM,year
profitandloss,481,TTM,year
profitandloss,485,Mar 2016 9m,year
profitandloss,494,TTM,year
profitandloss,507,TTM,year
profitandloss,520,TTM,year
profitandloss,532,TTM,year
profitandloss,545,TTM,year
profitandloss,558,TTM,year
profitandloss,571,TTM,year
profitandloss,584,TTM,year
profitandloss,597,TTM,year
profitandloss,610,TTM,year
profitandloss,623,TTM,year
profitandloss,636,TTM,year
profitandloss,647,TTM,year
profitandloss,660,TTM,year
profitandloss,673,TTM,year
profitandloss,686,TTM,year
profitandloss,689,TTM,year
profitandloss,702,TTM,year
profitandloss,715,TTM,year
profitandloss,728,TTM,year
profitandloss,735,TTM,year
profitandloss,748,TTM,year
profitandloss,761,TTM,year
profitandloss,774,TTM,year
profitandloss,787,TTM,year
profitandloss,800,TTM,year
profitandloss,813,TTM,year
profitandloss,826,TTM,year
profitandloss,839,TTM,year
profitandloss,852,TTM,year
profitandloss,865,TTM,year
profitandloss,878,TTM,year
profitandloss,891,TTM,year
profitandloss,904,TTM,year
profitandloss,917,TTM,year
profitandloss,930,TTM,year
profitandloss,943,TTM,year
profitandloss,956,TTM,year
profitandloss,969,TTM,year
profitandloss,982,TTM,year
profitandloss,986,Mar 2016 9m,year
profitandloss,995,TTM,year
profitandloss,1008,TTM,year
profitandloss,1033,TTM,year
profitandloss,1046,TTM,year
profitandloss,1059,TTM,year
profitandloss,1072,TTM,year
profitandloss,1085,TTM,year
profitandloss,1098,TTM,year
profitandloss,1111,TTM,year
profitandloss,1124,TTM,year
profitandloss,1137,TTM,year
profitandloss,1150,TTM,year
profitandloss,1163,TTM,year
profitandloss,1176,TTM,year
profitandloss,1189,TTM,year
profitandloss,1202,TTM,year
profitandloss,1215,TTM,year
profitandloss,1228,TTM,year
profitandloss,1241,TTM,year
profitandloss,1249,TTM,year
profitandloss,1262,TTM,year
profitandloss,1275,TTM,year
balancesheet,1045,2024.5,year
balancesheet,1066,2024.5,year
balancesheet,1079,2024.5,year
balancesheet,1092,2024.5,year
balancesheet,1130,2024.5,year
