company_id,metric_type,period_years,value_pct,source_label
HDFCBANK,compounded_sales_growth,10,21.0,years_exact
HDFCBANK,compounded_profit_growth,10,22.0,years_exact
HDFCBANK,stock_price_cagr,10,15.0,years_exact
HDFCBANK,roe,10,17.0,years_exact
SBILIFE,compounded_sales_growth,5,24.0,years_exact
SBILIFE,compounded_profit_growth,5,6.0,years_exact
SBILIFE,stock_price_cagr,5,8.0,years_exact
SBILIFE,roe,5,14.0,years_exact
SBILIFE,compounded_sales_growth,3,17.0,years_exact
SBILIFE,compounded_profit_growth,3,9.0,years_exact
SBILIFE,stock_price_cagr,3,7.0,years_exact
SBILIFE,roe,3,13.0,years_exact
SBILIFE,compounded_sales_growth,1,43.0,normalized:TTM
SBILIFE,compounded_profit_growth,1,18.0,normalized:TTM
SBILIFE,stock_price_cagr,1,-2.0,years_exact
SBILIFE,roe,1,12.0,normalized:Last Year
TCS,compounded_sales_growth,10,11.0,years_exact
TCS,compounded_profit_growth,10,9.0,years_exact
TCS,stock_price_cagr,10,14.0,years_exact
TCS,roe,10,40.0,years_exact
TCS,compounded_sales_growth,5,10.0,years_exact
TCS,compounded_profit_growth,5,8.0,years_exact
TCS,stock_price_cagr,5,16.0,years_exact
TCS,roe,5,44.0,years_exact
TCS,compounded_sales_growth,3,14.0,years_exact
TCS,compounded_profit_growth,3,12.0,years_exact
TCS,stock_price_cagr,3,8.0,years_exact
TCS,roe,3,47.0,years_exact
TCS,compounded_sales_growth,1,5.0,normalized:TTM
TCS,compounded_profit_growth,1,8.0,normalized:TTM
TCS,stock_price_cagr,1,16.0,years_exact
TCS,roe,1,52.0,normalized:Last Year
WIPRO,compounded_sales_growth,10,8.0,years_exact
WIPRO,compounded_profit_growth,10,3.0,years_exact
WIPRO,stock_price_cagr,10,12.0,years_exact
WIPRO,roe,10,18.0,years_exact
WIPRO,compounded_sales_growth,5,9.0,years_exact
WIPRO,compounded_profit_growth,5,4.0,years_exact
WIPRO,stock_price_cagr,5,20.0,years_exact
WIPRO,roe,5,17.0,years_exact
WIPRO,compounded_sales_growth,3,13.0,years_exact
WIPRO,compounded_profit_growth,3,0.0,years_exact
WIPRO,stock_price_cagr,3,-1.0,years_exact
WIPRO,roe,3,17.0,years_exact
HDFCBANK,compounded_sales_growth,5,22.0,years_exact
HDFCBANK,compounded_profit_growth,5,23.0,years_exact
HDFCBANK,stock_price_cagr,5,8.0,years_exact
HDFCBANK,roe,5,17.0,years_exact
WIPRO,compounded_sales_growth,1,-3.0,normalized:TTM
WIPRO,compounded_profit_growth,1,1.0,normalized:TTM
WIPRO,stock_price_cagr,1,39.0,years_exact
WIPRO,roe,1,14.0,normalized:Last Year
HDFCBANK,compounded_sales_growth,3,30.0,years_exact
HDFCBANK,compounded_profit_growth,3,26.0,years_exact
HDFCBANK,stock_price_cagr,3,8.0,years_exact
HDFCBANK,roe,3,17.0,years_exact
HDFCBANK,compounded_sales_growth,1,47.0,normalized:TTM
HDFCBANK,compounded_profit_growth,1,27.0,normalized:TTM
HDFCBANK,stock_price_cagr,1,13.0,years_exact
HDFCBANK,roe,1,17.0,normalized:Last Year
INFY,compounded_sales_growth,10,12.0,years_exact
INFY,compounded_profit_growth,10,9.0,years_exact
INFY,stock_price_cagr,10,15.0,years_exact
INFY,roe,10,27.0,years_exact
INFY,compounded_sales_growth,5,13.0,years_exact
INFY,compounded_profit_growth,5,11.0,years_exact
INFY,stock_price_cagr,5,22.0,years_exact
INFY,roe,5,29.0,years_exact
INFY,compounded_sales_growth,3,5.0,years_exact
INFY,compounded_profit_growth,3,10.0,years_exact
INFY,stock_price_cagr,3,4.0,years_exact
INFY,roe,3,31.0,years_exact
INFY,compounded_sales_growth,1,3.0,normalized:TTM
INFY,compounded_profit_growth,1,8.0,normalized:TTM
INFY,stock_price_cagr,1,27.0,years_exact
INFY,roe,1,32.0,normalized:Last Year
SBILIFE,compounded_sales_growth,10,23.0,years_exact
SBILIFE,compounded_profit_growth,10,9.0,years_exact
SBILIFE,stock_price_cagr,10,9.0,years_exact
SBILIFE,roe,10,16.0,years_exact
