kpi,P10,P25,P50,P75,P90,Mean,Std,n
return_on_equity_pct,8.36,11.61,16.27,26.08,48.4,125.07,640.62,90
operating_profit_margin_pct,10.06,16.09,26.18,41.75,84.46,35.33,27.31,89
net_profit_margin_pct,4.6,7.22,14.12,20.38,29.33,20.12,45.68,90
debt_to_equity,0.01,0.05,0.44,1.62,6.46,1.68,2.88,90
interest_coverage,1.67,3.31,11.36,58.33,193.59,128.84,491.09,89
revenue_cagr_5yr,6.33,8.4,11.84,17.12,21.01,12.91,7.38,89
pat_cagr_5yr,4.28,9.53,16.28,23.46,38.14,20.41,20.64,82
eps_cagr_5yr,3.3,9.26,14.87,21.66,30.39,18.13,18.76,81
dividend_payout_ratio_pct,1.9,14.0,25.5,44.0,67.6,30.29,29.99,90
asset_turnover,0.07,0.21,0.67,1.14,1.66,3.54,15.93,90
